cleaned_source,cleaned_target
he is always right.,START_ उहाँ सधैं सही हुनुहुन्छ। _END
he is always right.,START_ ऊ सधैं सही छ। _END
"hi, hows it going?","START_ नमस्ते, कस्तो भइरहेको छ? _END"
how is your sister?,START_ तिम्री बहिनीलाई कस्तो छ? _END
how smart are they?,START_ तिनीहरू कत्तिको बाठा छन्? _END
i climbed mt. fuji.,START_ मैले माउन्ट फुजी चढेँ। _END
i dance quite well.,START_ म एकदम राम्रो नृत्य गर्छु। _END
i decided the same.,START_ मैले पनि त्यही निर्णय गरें । _END
i drive everywhere.,START_ जताततै गाडी चलाउँछु। _END
i had a bad moment.,START_ म सँग नराम्रो क्षण थियो। _END
i like disco music.,START_ मलाई डिस्को संगीत मन पर्छ। _END
i like this guitar.,START_ मलाई यो गिटार मनपर्छ। _END
i like this guitar.,START_ मलाई यो गितार मनपर्छ। _END
i love korean food.,START_ मलाई कोरियन खाना मन पर्छ। _END
i love korean food.,START_ कोरियन खाना मन पर्छ। _END
i love korean food.,START_ कोरियाको खाना मन पर्छ। _END
i love korean food.,START_ कोरियाको खानेकुरा मन पर्छ। _END
i need to exercise.,START_ मलाई व्यायाम गर्न आवश्यक छ। _END
i teach tom french.,START_ म टमलाई फ्रेन्च सिकाउँछु। _END
i think he is sick.,START_ मलाई लाग्छ उहाँ बिरामी हुनुहुन्छ। _END
i think he is sick.,START_ मलाई लाग्छ ऊ बिरामी छ। _END
i think hes happy.,START_ मलाई लाग्छ ऊ खुसी छ। _END
i told tom to wait.,START_ मैले टमलाई पर्खन भनें। _END
i went sightseeing.,START_ म घुम्न गएँ । _END
i went windsurfing.,START_ म हावा खान गएँ। _END
im glad its over.,START_ यो सकिएकोमा म खुसी छु। _END
im not courageous.,START_ म साहसी छुइन। _END
is this a sentence?,START_ के यो वाक्य हो? _END
is this room toms?,START_ के यो टमको कोठा हो? _END
is this seat taken?,START_ के यो सिटमा मान्छे हुनुहुन्छ? _END
is this your house?,START_ यो तपाईको घर हो? _END
is this your house?,START_ यो तिम्रो घर हो? _END
is this your house?,START_ यो तेरो घर हो? _END
is this your house?,START_ यो हजुरको घर हो? _END
keep away from tom.,START_ टमबाट टाढा रहनुहोस्। _END
let me rephrase it.,START_ मलाई यसलाई दोहोर्याउन दिनुहोस्। _END
mt. fuji is famous.,START_ माउन्ट फुजी प्रसिद्ध छ। _END
my mailbox is full.,START_ मेरो मेलबक्स भरिएको छ। _END
please call me tom.,START_ कृपया मलाई टम भन्नुहोस्। _END
please dont worry.,START_ कृपया चिन्ता नगर्नुहोस्। _END
please dont worry.,START_ चिन्ता नलिनुहोस्। _END
please repair this.,START_ कृपया यसलाई ठीक गर्नुहोस्। _END
please repeat that.,START_ कृपया यसलाई दोहोर्याउनुहोस्। _END
she is unconscious.,START_ उनी बेहोस छिन् । _END
she is unconscious.,START_ उनी अचेत छिन् । _END
she threatened him.,START_ उनले उसलाई धम्की दिइन्। _END
she was born lucky.,START_ उनी भाग्यमानी जन्मिएकी थिइन् । _END
take off your mask.,START_ मास्क फुकाल्नुहोस्। _END
thats my umbrella.,START_ यो मेरो छाता हो। _END
the cat drank milk.,START_ बिरालोले दूध खायो। _END
the house is empty.,START_ घर खाली छ । _END
the lamp is broken.,START_ बत्ती बिग्रिएको छ। _END
they cant get out.,START_ तिनीहरू बाहिर निस्कन सक्दैनन्। _END
this apple is sour.,START_ यो स्याउ अमिलो छ। _END
this is a bus stop.,START_ यो बस स्टप हो। _END
this is a bus stop.,START_ यो बस बिसौनी हो। _END
this should be fun.,START_ यो रमाइलो हुनुपर्छ। _END
tom became violent.,START_ टम हिंस्रक भयो। _END
tom gave me advice.,START_ टमले मलाई सल्लाह दिए। _END
tom is a dog lover.,START_ टम एक कुकुर प्रेमी हो। _END
tom is a zoologist.,START_ टम एक प्राणीशास्त्री हो। _END
tom is working now.,START_ टम अहिले काम गर्दैछ। _END
tom left with mary.,START_ टम मेरीसँग गए। _END
tom might be bored.,START_ टम बोर भएको हुन सक्छ। _END
tom probably knows.,START_ सायद टमलाई थाहा छ। _END
tom probably knows.,START_ सायद टम जान्दछ। _END
tom writes scripts.,START_ टमले स्क्रिप्टहरू लेख्छन्। _END
"tom, are you there?","START_ टम, तिमी त्यहाँ छौ? _END"
we closed our eyes.,START_ हामीले आँखा बन्द गर्यौं । _END
what do they think?,START_ तिनीहरू के सोच्छन्? _END
what is this thing?,START_ यो के चिज हो? _END
whats tom cooking?,START_ टमले के पकाउँदै छ? _END
when were you born?,START_ तपाई कहिले जन्मिनुभयो ? _END
